"db_name"	"schema_name"	"table_name"	"t_bloat"	"wasted_mb"	"idx_bloat"	"wasted_idx_mb"
"breakpad"	"public"	"raw_crashes_20131125"	3342	4349	20	29
"breakpad"	"public"	"raw_crashes_20140623"	2197	3354	0	4
"breakpad"	"public"	"raw_crashes_20140203"	2259	3315	0	3
"breakpad"	"public"	"raw_crashes_20140217"	2247	3305	0	4
"breakpad"	"public"	"raw_crashes_20140127"	2258	3305	0	3
"breakpad"	"public"	"raw_crashes_20140908"	2292	3293	0	5
"breakpad"	"public"	"raw_crashes_20140210"	2253	3283	0	3
"breakpad"	"public"	"raw_crashes_20131104"	2189	3229	0	3
"breakpad"	"public"	"raw_crashes_20140317"	2210	3227	0	3
"breakpad"	"public"	"raw_crashes_20131118"	2184	3198	0	3
"breakpad"	"public"	"raw_crashes_20131111"	2185	3195	0	3
"breakpad"	"public"	"raw_crashes_20140106"	2241	3173	0	2
"breakpad"	"public"	"raw_crashes_20131021"	2218	3154	0	3
"breakpad"	"public"	"raw_crashes_20140113"	2242	3145	0	3
"breakpad"	"public"	"raw_crashes_20130930"	2213	3128	0	2
"breakpad"	"public"	"raw_crashes_20140120"	2252	3128	0	2
"breakpad"	"public"	"raw_crashes_20140630"	2197	3120	0	3
"breakpad"	"public"	"raw_crashes_20131028"	2201	3115	0	2
"breakpad"	"public"	"raw_crashes_20131209"	2217	3107	0	2
"breakpad"	"public"	"raw_crashes_20131014"	2216	3094	0	2
"breakpad"	"public"	"raw_crashes_20140303"	2223	3070	0	3
"breakpad"	"public"	"raw_crashes_20140915"	2208	3062	0	3
"breakpad"	"public"	"raw_crashes_20140324"	2198	3051	0	2
"breakpad"	"public"	"raw_crashes_20140310"	2228	3026	0	3
"breakpad"	"public"	"raw_crashes_20140224"	2235	3017	0	2
"breakpad"	"public"	"raw_crashes_20131216"	2233	3013	0	3
"breakpad"	"public"	"raw_crashes_20131007"	2206	2999	0	2
"breakpad"	"public"	"raw_crashes_20140707"	2181	2987	0	2
"breakpad"	"public"	"raw_crashes_20140901"	2185	2976	0	2
"breakpad"	"public"	"raw_crashes_20140602"	2209	2971	0	2
"breakpad"	"public"	"raw_crashes_20140505"	2192	2968	0	3
"breakpad"	"public"	"raw_crashes_20140825"	2185	2956	0	2
"breakpad"	"public"	"raw_crashes_20131223"	2233	2942	0	2
"breakpad"	"public"	"raw_crashes_20140922"	2220	2940	0	2
"breakpad"	"public"	"raw_crashes_20131202"	2216	2937	0	3
"breakpad"	"public"	"raw_crashes_20140512"	2208	2935	0	3
"breakpad"	"public"	"raw_crashes_20140609"	2215	2918	0	3
"breakpad"	"public"	"raw_crashes_20140721"	2197	2909	0	3
"breakpad"	"public"	"raw_crashes_20140728"	2185	2904	0	2
"breakpad"	"public"	"raw_crashes_20140616"	2200	2899	0	3
"breakpad"	"public"	"raw_crashes_20140526"	2217	2898	0	3
"breakpad"	"public"	"raw_crashes_20140811"	2198	2898	0	3
"breakpad"	"public"	"raw_crashes_20140407"	2203	2887	0	2
"breakpad"	"public"	"raw_crashes_20140804"	2191	2867	0	3
"breakpad"	"public"	"raw_crashes_20140414"	2206	2831	0	2
"breakpad"	"public"	"raw_crashes_20140421"	2211	2815	0	2
"breakpad"	"public"	"raw_crashes_20140818"	2186	2789	0	2
"breakpad"	"public"	"raw_crashes_20131230"	2239	2788	0	2
"breakpad"	"public"	"raw_crashes_20140519"	2217	2783	0	2
"breakpad"	"public"	"raw_crashes_20140331"	2208	2767	0	2
